Date,Open,High,Low,Close,Change,Traded Volume,Turnover,Last Price of the Day,Daily Traded Units,Daily Turnover
2018-01-02,193.1,193.36,190.5,192.7,,1479063.0,284194772.0,,,
2018-01-11,,201.35,199.58,200.8,,1150834.0,230869381.0,,,
2018-01-12,,202.15,200.25,202.0,,1231006.0,248112276.0,,,
2018-01-15,,202.95,201.35,202.1,,923834.0,186645574.0,,,
2018-01-16,,203.9,200.95,202.05,,1181565.0,239289259.0,,,
2018-01-17,,203.35,201.4,202.45,,1137284.0,230221438.0,,,
2018-01-18,,203.85,202.15,203.4,,1103234.0,224164127.0,,,
2018-01-19,,205.75,202.6,205.45,,1567307.0,321094994.0,,,
2018-01-22,,205.85,204.3,205.25,,966496.0,198220307.0,,,
2018-01-23,,206.75,204.95,205.75,,1175755.0,241780938.0,,,
2018-01-24,,206.85,204.8,204.8,,1020137.0,209579493.0,,,
2018-01-25,,205.6,202.5,203.9,,1244464.0,254222310.0,,,
2018-01-26,,204.15,203.25,203.9,,1035270.0,210952569.0,,,
2018-01-29,,204.75,203.3,204.4,,1004068.0,205071991.0,,,
2018-01-30,,204.35,203.0,203.75,,1372425.0,279635585.0,,,
2018-01-31,,204.35,203.2,203.5,,1293110.0,263289264.0,,,
2018-02-01,,205.1,200.45,201.45,,1668129.0,337538467.0,,,
2018-02-02,,201.35,199.84,200.35,,1389137.0,278638730.0,,,
2018-02-05,,199.4,196.76,198.24,,1690182.0,334548761.0,,,
2018-02-06,,194.26,181.9,190.7,,3611475.0,691838954.0,,,
2018-02-07,,196.58,190.78,195.06,,2393548.0,463169834.0,,,
2018-02-08,,194.92,187.64,188.58,,2294569.0,437541157.0,,,
2018-02-09,,189.4,183.36,185.16,,2790253.0,519307491.0,,,
2018-02-12,,189.98,186.64,187.78,,1806592.0,340024023.0,,,
2018-02-13,,188.3,186.46,186.54,,1344140.0,251623520.0,,,
2018-02-14,,189.12,184.6,187.92,,1891030.0,354105121.0,,,
2018-02-15,,191.5,188.38,189.5,,1725578.0,327682262.0,,,
2018-02-16,,191.0,187.2,190.6,,2394763.0,454130957.0,,,
2018-02-19,,192.5,190.0,190.3,,929731.0,177670534.0,,,
2018-02-20,,192.52,189.56,192.52,,1271524.0,243698743.0,,,
2018-02-21,,192.94,190.68,192.34,,1127723.0,216444831.0,,,
2018-02-22,,192.74,190.04,192.42,,1372123.0,262905774.0,,,
2018-02-23,,192.8,190.48,191.5,,1109088.0,212645121.0,,,
2018-02-26,,192.9,191.62,192.16,,1081620.0,208016957.0,,,
2018-02-27,,193.82,192.22,192.86,,1166547.0,225125851.0,,,
2018-02-28,,194.44,191.78,192.02,,1381887.0,266346612.0,,,
2018-03-01,,191.5,188.22,188.8,,2080489.0,393979601.0,,,
2018-03-02,,187.08,183.54,183.8,,2128112.0,392878195.0,,,
2018-03-05,,188.58,181.64,187.72,,2292621.0,428539696.0,,,
2018-03-06,,190.24,186.7,186.84,,1283196.0,241655066.0,,,
2018-03-07,,188.92,185.66,188.62,,1289078.0,242101870.0,,,
2018-03-08,,190.42,187.14,189.9,,1375151.0,260045108.0,,,
2018-03-09,,190.76,188.1,190.02,,1522860.0,288764838.0,,,
2018-03-12,,191.98,188.88,189.9,,1044103.0,199023341.0,,,
2018-03-13,,190.48,185.08,185.8,,1626998.0,304629772.0,,,
2018-03-14,,186.66,184.94,185.1,,1678288.0,311467507.0,,,
2018-03-15,,188.98,186.02,188.58,,1554641.0,291882308.0,,,
2018-03-16,,190.7,188.9,188.92,,4299605.0,814032343.0,,,
2018-03-19,,189.76,185.62,185.78,,1377264.0,257741664.0,,,
2018-03-20,,189.62,185.84,189.2,,1220094.0,229583497.0,,,
2018-03-21,,190.0,187.38,188.7,,907373.0,170984975.0,,,
2018-03-22,,188.64,183.6,184.92,,1624131.0,301260672.0,,,
2018-03-23,,184.4,179.12,180.36,,2317383.0,420506692.0,,,
2018-03-26,,182.16,176.1,179.54,,1719413.0,309961336.0,,,
2018-03-27,,183.4,181.5,182.34,,1610901.0,293890508.0,,,
2018-03-28,,183.76,179.62,183.2,,1584780.0,288101444.0,,,
2018-03-29,,184.88,182.02,183.4,,1686524.0,309403398.0,,,
2018-04-03,,184.58,180.98,183.4,,1481126.0,271145840.0,,,
2018-04-04,,183.9,179.26,182.72,,1757357.0,319015605.0,,,
2018-04-05,,187.98,184.82,187.4,,1644635.0,307097077.0,,,
2018-04-06,,187.16,185.8,186.66,,1259614.0,234985488.0,,,
2018-04-09,,188.8,186.74,187.42,,1130466.0,212185565.0,,,
2018-04-10,,188.96,187.5,188.48,,1042694.0,196425224.0,,,
2018-04-11,,188.74,186.34,186.42,,1079876.0,202075751.0,,,
2018-04-12,,188.96,186.54,188.64,,1174624.0,221088498.0,,,
2018-04-13,,191.16,188.84,189.42,,1042591.0,197949055.0,,,
2018-04-16,,190.56,189.18,189.48,,807129.0,153169732.0,,,
2018-04-17,,192.52,189.76,192.12,,1319332.0,252885979.0,,,
2018-04-18,,193.0,191.54,192.12,,1151195.0,221465107.0,,,
2018-04-19,,192.7,191.02,192.66,,976570.0,187598327.0,,,
2018-04-20,,194.3,192.4,193.54,,1628478.0,314945626.0,,,
2018-04-23,,195.82,192.88,195.1,,1248169.0,243148914.0,,,
2018-04-24,,196.32,193.06,194.86,,1291967.0,251773809.0,,,
2018-04-25,,193.6,191.12,193.28,,1585920.0,305103852.0,,,
2018-04-26,,195.32,192.18,195.14,,1604668.0,311446370.0,,,
2018-04-27,,196.98,193.44,194.5,,1288258.0,251433204.0,,,
2018-04-30,,196.94,195.1,196.46,,1232442.0,242111252.0,,,
2018-05-02,,199.26,196.42,199.14,,1762744.0,349680111.0,,,
2018-05-03,,199.88,197.32,197.32,,1475221.0,292774989.0,,,
2018-05-04,,199.22,197.0,199.0,,1317457.0,261463727.0,,,
2018-05-07,,201.1,198.66,201.0,,1094649.0,219209081.0,,,
2018-05-08,,201.4,198.76,200.3,,1201539.0,240243232.0,,,
2018-05-09,,201.0,198.22,198.54,,2000610.0,398305348.0,,,
2018-05-10,,193.48,190.52,192.04,,1118352.0,214574156.0,,,
2018-05-11,,193.16,191.54,191.54,,1063506.0,204167169.0,,,
2018-05-14,,192.48,189.92,190.44,,993174.0,189442572.0,,,
2018-05-15,,192.7,189.22,192.26,,1122168.0,214815600.0,,,
2018-05-16,,192.1,189.12,189.5,,1297628.0,246710540.0,,,
2018-05-17,,191.8,188.8,191.8,,1109603.0,211582795.0,,,
2018-05-18,,192.82,190.66,191.5,,1755359.0,336267258.0,,,
2018-05-22,,193.48,190.98,192.78,,1089103.0,209654998.0,,,
2018-05-23,,192.34,187.3,188.88,,1517065.0,286793728.0,,,
2018-05-24,,189.88,186.16,187.2,,1079182.0,202774709.0,,,
2018-05-25,,189.0,186.12,187.54,,1139030.0,213718857.0,,,
2018-05-28,,189.76,185.2,185.94,,834857.0,156067174.0,,,
2018-05-29,,184.66,178.56,180.3,,2400717.0,434878167.0,,,
2018-05-30,,180.9,178.16,180.5,,1835447.0,330166213.0,,,
2018-05-31,,180.98,175.38,176.38,,2181089.0,386702940.0,,,
2018-06-01,,181.2,177.36,179.66,,1335142.0,239660210.0,,,
2018-06-04,,181.44,179.58,180.9,,942263.0,170292357.0,,,
2018-06-05,,183.04,179.6,179.6,,1339099.0,242417658.0,,,
2018-06-06,,180.1,177.28,178.72,,1434657.0,256256736.0,,,
2018-06-07,,180.64,178.78,179.36,,1000193.0,179663225.0,,,
2018-06-08,,180.64,178.78,177.10,,1000193.0,179663225.0,,,
