time,open,high,low,close,volume
2018-12-19T02:00:00.000000000Z,1.13811,1.13867,1.13792,1.13857,444
2018-12-19T03:00:00.000000000Z,1.13855,1.13874,1.13844,1.13853,307
2018-12-19T04:00:00.000000000Z,1.13851,1.13898,1.13807,1.13812,498
2018-12-19T05:00:00.000000000Z,1.13812,1.13885,1.13784,1.1388,378
2018-12-19T06:00:00.000000000Z,1.13878,1.13905,1.13808,1.13851,612
2018-12-19T07:00:00.000000000Z,1.1385,1.14052,1.1383,1.13975,1652
2018-12-19T08:00:00.000000000Z,1.13972,1.1406,1.13942,1.14013,1349
2018-12-19T09:00:00.000000000Z,1.14012,1.14051,1.13886,1.13892,1218
2018-12-19T10:00:00.000000000Z,1.13891,1.14101,1.13826,1.14081,1547
2018-12-19T11:00:00.000000000Z,1.14081,1.14141,1.13956,1.14038,1249
2018-12-19T12:00:00.000000000Z,1.14038,1.14057,1.1395,1.1404,1041
2018-12-19T13:00:00.000000000Z,1.14038,1.14067,1.1396,1.14016,1287
2018-12-19T14:00:00.000000000Z,1.14014,1.14322,1.14011,1.14299,1743
2018-12-19T15:00:00.000000000Z,1.14298,1.14392,1.14199,1.14212,1992
2018-12-19T16:00:00.000000000Z,1.14212,1.14326,1.14198,1.14217,1538
2018-12-19T17:00:00.000000000Z,1.14214,1.14318,1.1418,1.14252,1482
2018-12-19T18:00:00.000000000Z,1.14255,1.14384,1.14227,1.14318,1736
2018-12-19T19:00:00.000000000Z,1.14314,1.14324,1.13644,1.13716,13657
2018-12-19T20:00:00.000000000Z,1.13717,1.13879,1.13644,1.13732,4616
2018-12-19T21:00:00.000000000Z,1.13732,1.13868,1.13682,1.13772,982
2018-12-19T22:00:00.000000000Z,1.13758,1.13828,1.13696,1.13802,2619
2018-12-19T23:00:00.000000000Z,1.13807,1.13888,1.13806,1.13866,575
2018-12-20T00:00:00.000000000Z,1.13866,1.13882,1.13805,1.13828,690
2018-12-20T01:00:00.000000000Z,1.1383,1.13842,1.13772,1.1382,652
2018-12-20T02:00:00.000000000Z,1.13824,1.1384,1.13784,1.13802,408
2018-12-20T03:00:00.000000000Z,1.138,1.13832,1.13782,1.13818,499
