time,open,high,low,close,volume
2019-01-15T04:45:00.000000000Z,59.526,59.531,59.481,59.481,129
2019-01-15T05:00:00.000000000Z,59.477,59.511,59.466,59.501,146
2019-01-15T05:15:00.000000000Z,59.504,59.541,59.501,59.511,95
2019-01-15T05:30:00.000000000Z,59.514,59.666,59.514,59.626,530
2019-01-15T05:45:00.000000000Z,59.621,59.696,59.601,59.676,415
2019-01-15T06:00:00.000000000Z,59.681,59.731,59.641,59.686,287
2019-01-15T06:15:00.000000000Z,59.682,59.682,59.586,59.636,355
2019-01-15T06:30:00.000000000Z,59.639,59.691,59.611,59.676,260
2019-01-15T06:45:00.000000000Z,59.672,59.686,59.617,59.627,261
2019-01-15T07:00:00.000000000Z,59.624,59.627,59.522,59.562,461
2019-01-15T07:15:00.000000000Z,59.559,59.589,59.482,59.482,312
2019-01-15T07:30:00.000000000Z,59.478,59.527,59.412,59.447,385
2019-01-15T07:45:00.000000000Z,59.45,59.502,59.343,59.348,502
2019-01-15T08:00:00.000000000Z,59.345,59.532,59.333,59.373,1212
2019-01-15T08:15:00.000000000Z,59.37,59.403,59.114,59.163,2158
2019-01-15T08:30:00.000000000Z,59.166,59.263,59.054,59.243,1339
2019-01-15T08:45:00.000000000Z,59.241,59.313,59.034,59.099,1057
2019-01-15T09:00:00.000000000Z,59.103,59.233,58.954,59.079,1290
2019-01-15T09:15:00.000000000Z,59.075,59.301,59.029,59.293,1149
2019-01-15T09:30:00.000000000Z,59.289,59.453,59.201,59.244,1106
2019-01-15T09:45:00.000000000Z,59.241,59.358,59.224,59.319,802
2019-01-15T10:00:00.000000000Z,59.324,59.324,59.192,59.229,603
2019-01-15T10:15:00.000000000Z,59.224,59.364,59.12,59.129,877
2019-01-15T10:30:00.000000000Z,59.124,59.294,59.124,59.284,592
2019-01-15T10:45:00.000000000Z,59.277,59.628,59.264,59.608,1117
2019-01-15T11:00:00.000000000Z,59.613,59.733,59.558,59.583,1063
2019-01-15T11:15:00.000000000Z,59.579,59.883,59.573,59.757,1023
2019-01-15T11:30:00.000000000Z,59.763,59.833,59.681,59.733,585
2019-01-15T11:45:00.000000000Z,59.736,59.743,59.524,59.559,1090
