date,time,open,high,low,close,volume
2018-12-19,02:00:00,1.13811,1.13867,1.13792,1.13857,444
2018-12-19,03:00:00,1.13855,1.13874,1.13844,1.13853,307
2018-12-19,04:00:00,1.13851,1.13898,1.13807,1.13812,498
2018-12-19,05:00:00,1.13812,1.13885,1.13784,1.1388,378
2018-12-19,06:00:00,1.13878,1.13905,1.13808,1.13851,612
2018-12-19,07:00:00,1.1385,1.14052,1.1383,1.13975,1652
2018-12-19,08:00:00,1.13972,1.1406,1.13942,1.14013,1349
2018-12-19,09:00:00,1.14012,1.14051,1.13886,1.13892,1218
2018-12-19,10:00:00,1.13891,1.14101,1.13826,1.14081,1547
2018-12-19,11:00:00,1.14081,1.14141,1.13956,1.14038,1249
2018-12-19,12:00:00,1.14038,1.14057,1.1395,1.1404,1041
2018-12-19,13:00:00,1.14038,1.14067,1.1396,1.14016,1287
2018-12-19,14:00:00,1.14014,1.14322,1.14011,1.14299,1743
2018-12-19,15:00:00,1.14298,1.14392,1.14199,1.14212,1992
2018-12-19,16:00:00,1.14212,1.14326,1.14198,1.14217,1538
2018-12-19,17:00:00,1.14214,1.14318,1.1418,1.14252,1482
2018-12-19,18:00:00,1.14255,1.14384,1.14227,1.14318,1736
2018-12-19,19:00:00,1.14314,1.14324,1.13644,1.13716,13657
2018-12-19,20:00:00,1.13717,1.13879,1.13644,1.13732,4616
2018-12-19,21:00:00,1.13732,1.13868,1.13682,1.13772,982
2018-12-19,22:00:00,1.13758,1.13828,1.13696,1.13802,2619
2018-12-19,23:00:00,1.13807,1.13888,1.13806,1.13866,575
2018-12-20,00:00:00,1.13866,1.13882,1.13805,1.13828,690
2018-12-20,01:00:00,1.1383,1.13842,1.13772,1.1382,652
2018-12-20,02:00:00,1.13824,1.1384,1.13784,1.13802,408
2018-12-20,03:00:00,1.138,1.13832,1.13782,1.13818,499
2018-12-20,04:00:00,1.13814,1.1386,1.13796,1.1386,601
2018-12-20,05:00:00,1.1386,1.13894,1.13824,1.13894,639
2018-12-20,06:00:00,1.13894,1.14099,1.13846,1.14091,1057
2018-12-20,07:00:00,1.14087,1.14256,1.14052,1.14158,2287
2018-12-20,08:00:00,1.14156,1.14346,1.14106,1.14296,2163
2018-12-20,09:00:00,1.14292,1.14807,1.14253,1.14782,4036
2018-12-20,10:00:00,1.14786,1.14856,1.14698,1.14766,2120
2018-12-20,11:00:00,1.14763,1.14828,1.14641,1.14664,1997
2018-12-20,12:00:00,1.14668,1.14671,1.145,1.14502,1638
2018-12-20,13:00:00,1.14503,1.1463,1.14438,1.14458,1616
2018-12-20,14:00:00,1.14459,1.1461,1.14418,1.14492,1990
2018-12-20,15:00:00,1.14495,1.14495,1.14024,1.14162,3173
2018-12-20,16:00:00,1.14162,1.14331,1.14082,1.14314,2826
2018-12-20,17:00:00,1.14316,1.14652,1.14311,1.14588,2899
2018-12-20,18:00:00,1.14588,1.14758,1.14514,1.14706,1897
2018-12-20,19:00:00,1.14703,1.14851,1.14654,1.14716,2446
2018-12-20,20:00:00,1.14712,1.14725,1.14592,1.14602,1544
2018-12-20,21:00:00,1.14602,1.14605,1.14448,1.14456,663
2018-12-20,22:00:00,1.14475,1.1455,1.14448,1.14492,1749
2018-12-20,23:00:00,1.14488,1.14598,1.14488,1.14566,695
2018-12-21,00:00:00,1.14568,1.14617,1.14482,1.14498,590
2018-12-21,01:00:00,1.14498,1.14538,1.14491,1.14522,411
2018-12-21,02:00:00,1.14518,1.14548,1.14486,1.14486,315
2018-12-21,03:00:00,1.1449,1.14508,1.14472,1.14492,220
2018-12-21,04:00:00,1.14492,1.14501,1.14417,1.14442,501
2018-12-21,05:00:00,1.14438,1.14502,1.1442,1.14466,524
2018-12-21,06:00:00,1.14466,1.14564,1.14466,1.1456,588
2018-12-21,07:00:00,1.14556,1.14734,1.14554,1.14688,1094
2018-12-21,08:00:00,1.1469,1.14742,1.1443,1.14442,2042
2018-12-21,09:00:00,1.14438,1.14451,1.14124,1.14282,2388
2018-12-21,10:00:00,1.14284,1.1429,1.14135,1.14202,1892
2018-12-21,11:00:00,1.14198,1.1428,1.14152,1.14243,1762
2018-12-21,12:00:00,1.14246,1.14264,1.14004,1.14148,1948
2018-12-21,13:00:00,1.14145,1.14248,1.14064,1.14106,2785
2018-12-21,14:00:00,1.1411,1.14236,1.14016,1.14016,2166
2018-12-21,15:00:00,1.14016,1.14158,1.13826,1.14152,3913
2018-12-21,16:00:00,1.14148,1.14212,1.13992,1.14008,3425
2018-12-21,17:00:00,1.14012,1.1404,1.13848,1.13859,1878
2018-12-21,18:00:00,1.13858,1.1386,1.13622,1.13644,1687
2018-12-21,19:00:00,1.13645,1.13732,1.13637,1.13694,749
2018-12-21,20:00:00,1.13691,1.13716,1.13561,1.13589,1130
2018-12-21,21:00:00,1.13592,1.1375,1.13571,1.13718,1023
2018-12-23,22:00:00,1.13728,1.13746,1.13614,1.13686,2740
2018-12-23,23:00:00,1.13686,1.1374,1.13668,1.13724,390
2018-12-24,00:00:00,1.13721,1.13807,1.13707,1.13784,331
2018-12-24,01:00:00,1.13782,1.13815,1.13768,1.13806,298
2018-12-24,02:00:00,1.1381,1.13904,1.13776,1.13877,438
2018-12-24,03:00:00,1.1388,1.13918,1.13854,1.13897,273
2018-12-24,04:00:00,1.13894,1.1392,1.13873,1.13919,316
2018-12-24,05:00:00,1.13923,1.13929,1.13868,1.13908,308
2018-12-24,06:00:00,1.13911,1.13924,1.13793,1.1381,384
2018-12-24,07:00:00,1.13809,1.13914,1.13774,1.13774,839
