time,open,high,low,close,volume
2019-01-11T17:00:00.000000000Z,1.14786,1.14827,1.14779,1.14814,446
2019-01-11T17:15:00.000000000Z,1.14816,1.1486,1.14796,1.14826,292
2019-01-11T17:30:00.000000000Z,1.14823,1.14828,1.14786,1.14792,327
2019-01-11T17:45:00.000000000Z,1.14789,1.14854,1.14788,1.14826,324
2019-01-11T18:00:00.000000000Z,1.14826,1.1484,1.14752,1.1477,286
2019-01-11T18:15:00.000000000Z,1.14766,1.14794,1.14756,1.14764,190
2019-01-11T18:30:00.000000000Z,1.14766,1.14776,1.14716,1.14724,220
2019-01-11T18:45:00.000000000Z,1.14728,1.14749,1.14694,1.1471,167
2019-01-11T19:00:00.000000000Z,1.14714,1.14729,1.14692,1.1471,140
2019-01-11T19:15:00.000000000Z,1.14714,1.14714,1.14677,1.14685,160
2019-01-11T19:30:00.000000000Z,1.14685,1.14698,1.14657,1.14657,156
2019-01-11T19:45:00.000000000Z,1.14661,1.14661,1.14634,1.14652,214
2019-01-11T20:00:00.000000000Z,1.14652,1.14654,1.1461,1.14615,196
2019-01-11T20:15:00.000000000Z,1.14618,1.14632,1.14582,1.14618,216
2019-01-11T20:30:00.000000000Z,1.1462,1.14646,1.1461,1.1463,177
2019-01-11T20:45:00.000000000Z,1.14627,1.14657,1.14616,1.14628,257
2019-01-11T21:00:00.000000000Z,1.14624,1.14662,1.14616,1.14637,129
2019-01-11T21:15:00.000000000Z,1.1464,1.14646,1.1463,1.1464,87
2019-01-11T21:30:00.000000000Z,1.14643,1.14651,1.14602,1.14606,91
2019-01-11T21:45:00.000000000Z,1.14608,1.14708,1.14604,1.14687,796
2019-01-13T22:00:00.000000000Z,1.14609,1.14656,1.14592,1.14624,224
2019-01-13T22:15:00.000000000Z,1.14624,1.14666,1.14614,1.14624,231
2019-01-13T22:30:00.000000000Z,1.14622,1.1463,1.14607,1.14624,92
2019-01-13T22:45:00.000000000Z,1.14623,1.14658,1.14618,1.1465,123
2019-01-13T23:00:00.000000000Z,1.1465,1.14685,1.14632,1.14636,258
2019-01-13T23:15:00.000000000Z,1.14636,1.1464,1.14596,1.14598,90
2019-01-13T23:30:00.000000000Z,1.14598,1.1463,1.14598,1.14608,95
2019-01-13T23:45:00.000000000Z,1.14609,1.14614,1.14598,1.14599,60
2019-01-14T00:00:00.000000000Z,1.146,1.14656,1.146,1.14617,146
2019-01-14T00:15:00.000000000Z,1.14619,1.14642,1.14614,1.14642,64
2019-01-14T00:30:00.000000000Z,1.14645,1.14664,1.14638,1.14644,41
2019-01-14T00:45:00.000000000Z,1.14644,1.14658,1.14622,1.1463,60
2019-01-14T01:00:00.000000000Z,1.14626,1.14682,1.14626,1.14652,42
2019-01-14T01:15:00.000000000Z,1.14648,1.14699,1.1464,1.14697,67
2019-01-14T01:30:00.000000000Z,1.14696,1.14748,1.14689,1.14748,129
2019-01-14T01:45:00.000000000Z,1.14744,1.14773,1.14712,1.1476,106
2019-01-14T02:00:00.000000000Z,1.1476,1.14773,1.14722,1.14754,99
2019-01-14T02:15:00.000000000Z,1.14752,1.14779,1.14748,1.14762,104
2019-01-14T02:30:00.000000000Z,1.14758,1.14766,1.14733,1.14733,72
